id,marca,modelo,tipo_computador,procesador_marca,procesador_modelo,generacion_cpu,nucleos_cpu,hilos_cpu,frecuencia_base_ghz,frecuencia_max_ghz,ram_gb,tipo_ram,velocidad_ram_mhz,almacenamiento_gb,tipo_almacenamiento,almacenamiento_secundario_gb,gpu_marca,gpu_modelo,tipo_gpu,vram_gb,tamano_pantalla,resolucion_ancho,resolucion_alto,tipo_panel,tasa_refresco_hz,pantalla_tactil,bateria_wh,peso_kg,ancho_cm,profundidad_cm,grosor_cm,wifi,bluetooth,puertos_usb,puerto_hdmi,puerto_ethernet,sistema_operativo,version_so,garantia_meses,precio,precio_anterior,descuento_porcentaje,precio_usd
1035,Acer,Acer 5798,Profesional,Intel,Core i7,12,8.0,16,2.25,4.84,32,DDR5,5600,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,60,1,67.0,1.06,31.3,22.3,1.47,WiFi 6,5.0,2,1,0,Windows 11,Pro,12,6306018,6306018,0.0,1576.5
1036,LG,LG 7525,Notebook,AMD,Ryzen 3,13,4.0,8,2.97,4.46,8,DDR5,5600,2000,HDD,0,AMD,Radeon Graphics,Integrada,0,14.0,1366,768,TN,120,0,41.0,1.47,31.4,22.2,1.57,WiFi 6,5.3,2,2,0,FreeDOS,,12,4081390,4534878,10.0,1020.35
1037,Apple,Apple 4735,Ultrabook,Apple,M1,1,8.0,8,1.99,3.18,16,LPDDR5,5600,512,SSD,0,Apple,GPU Apple,Integrada,0,13.3,1920,1080,OLED,60,1,51.4,1.19,30.5,21.5,2.05,WiFi 6E,5.0,4,1,1,macOS,Ventura,12,6835495,8544369,20.0,1708.87
1038,Samsung,Samsung 5630,Gaming,AMD,Ryzen 5,12,8.0,12,2.58,4.41,16,DDR5,4800,2048,SSD+HDD,1000,NVIDIA,RTX A1000,Dedicada,6,15.6,2560,1600,IPS,165,0,80.7,2.32,35.7,22.7,1.71,WiFi 7,5.1,3,2,1,Windows 11,Home,12,9876032,12345040,20.0,2469.01
1039,Acer,Acer 6874,Workstation,Intel,Core i9,13,16.0,26,2.14,5.63,64,DDR5,4800,2048,SSD,0,NVIDIA,RTX A2000,Dedicada,8,16.0,1920,1080,IPS,60,0,67.6,1.85,35.6,24.9,1.87,WiFi 6,5.1,4,1,1,Windows 11,Pro,12,13983689,15199662,8.0,3495.92
1040,Asus,Asus 1091,2 en 1,AMD,Ryzen 5,11,8.0,12,2.56,4.43,16,LPDDR4X,4266,512,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,1920,1080,,60,1,57.4,1.36,31.8,21.9,2.02,WiFi 6E,5.1,3,1,1,Windows 11,Home,12,4176111,4640123,10.0,1044.03
1041,Lenovo,Lenovo 2151,Profesional,AMD,Ryzen 7,12,8.0,16,2.3,5.01,16,DDR5,5200,512,ssd,0,AMD,Radeon Graphics,Integrada,0,14.0,1920,1080,OLED,60,0,74.1,1.34,31.4,21.7,1.51,WiFi 6,5.0,3,1,1,Windows 11,Home,6,4603887,5004225,8.0,1150.97
1042,Dell,Dell 5688,Notebook,Intel,Core i3,12,4.0,8,3.1,4.25,16,DDR5,4800,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,17.3,1366,768,TN,60,1,35.9,1.88,39.8,26.8,1.86,WiFi 7,5.0,2,1,1,Windows 11,Home,12,3654990,4061100,10.0,913.75
1043,Lenovo,Lenovo 2666,Ultrabook,Intel,Core i5,14,6.0,12,2.5,4.77,16,DDR5,5600,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2880,1800,IPS,60,1,72.7,1.72,31.1,22.6,1.99,WiFi 6E,4.2,3,1,0,Windows 11,Pro,12,5168451,5440475,5.0,1292.11
1044,MSI,MSI 2320,Gaming,Intel,Core i7,14,8.0,16,2.26,4.73,32,DDR5,5200,512,SSD,0,NVIDIA,RTX A1000,Dedicada,6,15.6,1920,1080,OLED,144,0,75.6,2.23,35.5,22.9,1.68,WiFi 7,5.1,3,1,1,Windows 11,Home,6,10645122,11570785,8.0,2661.28
1045,HP,HP 4081,Workstation,Intel,Core i7,12,8.0,16,2.15,5.24,32,DDR5,5600,2048,SSD,0,NVIDIA,RTX A2000,Dedicada,8,16.0,1920,1080,IPS,60,0,83.8,1.86,35.7,24.5,1.94,WiFi 6,5.0,3,2,0,Windows 11,Pro,24,11138853,13923566,20.0,2784.71
1046,Samsung,Samsung 5149,2 en 1,Intel,Core i3,12,4.0,8,3.06,4.09,16,DDR4,2933,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2560,1600,IPS,60,1,46.4,1.36,31.1,21.7,1.71,WiFi 7,5.2,3,1,1,Windows 11,Home,24,3729187,4387279,15.0,932.3
1047,Acer,Acer 5579,Profesional,Intel,Core i5,13,6.0,12,2.41,4.72,32,DDR5,4800,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,16.0,2560,1600,OLED,60,1,72.7,1.95,35.9,24.3,1.76,WiFi 6,5.2,3,1,1,Windows 11,Pro,12,6203374,6892638,10.0,1550.84
1048,MSI,MSI 3524,Notebook,Intel,Core i3,11,4.0,8,3.13,4.35,8,DDR4,2933,256,SSD,1000,Intel,Iris Xe Graphics,Integrada,0,14.0,1366,768,TN,60,0,47.2,1.61,31.5,22.1,1.64,WiFi 6E,5.1,4,1,1,,Pro,24,3905424,3905424,0.0,976.36
1049,Samsung,Samsung 8685,Ultrabook,Intel,Core i7,11,8.0,16,2.1,5.05,16,LPDDR4X,4266,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2560,1600,OLED,60,0,50.8,1.26,31.6,22.4,1.68,WiFi 6,5.0,3,1,1,Windows 11,Pro,12,4897476,5761736,15.0,1224.37
1050,Acer,Acer 2969,Gaming,AMD,Ryzen 7,13,8.0,16,2.35,5.07,32,DDR5,5200,2048,SSD+HDD,1000,NVIDIA,RTX 3050,Dedicada,4,15.6,2560,1600,OLED,300,0,64.8,2.01,35.6,23.0,1.67,WiFi 6E,5.2,3,1,0,Windows 11,Home,12,14605042,15373728,5.0,3651.26
1051,HP,HP 8115,Workstation,AMD,Ryzen 7,13,8.0,16,2.41,4.92,32,DDR4,3200,1024,SSD,0,NVIDIA,RTX 4080,Dedicada,12,15.6,3840,2400,IPS,144,0,74.7,1.75,35.6,22.4,1.51,WiFi 5,5.1,3,2,1,Windows 11,Home,24,12609476,14010529,10.0,3152.37
1052,MSI,MSI 4318,2 en 1,Intel,Core i5,12,6.0,12,2.29,4.71,8,DDR5,4800,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2560,1600,IPS,60,1,45.3,1.57,31.5,22.1,2.02,wifi6,5.2,2,2,0,Windows 11,Home,6,4779570,5031126,5.0,1194.89
1053,Samsung,Samsung 1889,Profesional,AMD,Ryzen 7,14,8.0,16,2.37,5.17,32,DDR5,5200,512,SSD,0,AMD,Radeon Graphics,Integrada,0,16.0,2560,1600,OLED,60,0,52.1,2.0,35.7,24.4,1.88,WiFi 6,5.1,3,1,1,FreeDOS,,6,5638684,6129004,8.0,1409.67
1054,Asus,Asus 1773,Notebook,Intel,Core i3,10,3.0,10,3.06,4.45,8,LPDDR4X,4266,256,SSD,1000,Intel,Iris Xe Graphics,Integrada,0,14.0,1366,768,IPS,60,0,,1.35,31.2,22.0,1.74,WiFi 6E,4.2,3,1,0,Windows 11,Home,12,3508427,4127561,15.0,877.11
1055,Xiaomi,Xiaomi 4338,Ultrabook,Intel,Core i5,11,6.0,12,2.36,4.55,16,LPDDR4X,3733,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,120,0,55.8,1.1,31.2,22.5,1.95,WiFi 6,5.0,4,1,0,Windows 11,Pro,12,5350930,5816228,8.0,1337.73
1056,LG,LG 9011,Gaming,AMD,Ryzen 7,13,8.0,16,2.55,5.05,32,DDR5,4800,512,SSD+HDD,2000,AMD,RX 7600M,Dedicada,8,15.6,2560,1600,IPS,165,0,,2.11,35.8,22.5,1.72,WiFi 6,5.0,2,1,0,Windows 11,Home,24,11687371,13749848,15.0,2921.84
1057,LG,LG 9363,Workstation,AMD,Ryzen 9,13,12.0,20,2.25,4.97,32,DDR5,5200,1024,SSD,0,NVIDIA,RTX 3050,Dedicada,6,15.6,3840,2400,IPS,60,0,65.8,1.78,35.3,22.5,1.64,WiFi 6E,5.3,2,1,1,Windows 11,Pro,12,10297353,10839319,5.0,2574.34
1058,HP ,Lenovo 9806,2 en 1,AMD,Ryzen 3,13,5.0,8,2.68,4.21,8,DDR5,4800,256,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,1920,1080,OLED,120,1,52.0,1.04,30.9,21.6,2.06,WiFi 7,4.2,3,1,1,Windows 11,Home,12,3833116,4509548,15.0,958.28
1059,Apple,Apple 3438,Profesional,Apple,M3,3,8.0,8,2.85,3.88,16,LPDDR5,5600,512,SSD,0,Apple,GPU Apple,Integrada,0,15.6,1920,1080,IPS,60,1,59.9,1.61,36.1,22.6,1.6,WiFi 5,5.1,3,1,1,macOS,Ventura,12,6678560,7030063,5.0,1669.64
1060,Dell,Dell 8623,Notebook,Intel,Core i5,12,6.0,12,2.44,4.51,8,DDR5,4800,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1366,768,IPS,60,0,40.2,1.35,31.2,22.3,1.78,WiFi 6E,5.3,4,2,0,Windows 11,Home,24,3400830,3400830,0.0,850.21
1061,LG,LG 5468,Ultrabook,AMD,Ryzen 5,11,9.0,14,2.63,4.63,32,DDR4,2666,512,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,2880,1800,IPS,120,0,72.3,1.12,31.5,22.0,1.9,WiFi 6,5.1,3,2,1,Windows 11,Home,12,5201411,5201411,0.0,1300.35
1062,LG,LG 1594,Gaming,Intel,Core i5,14,7.0,14,2.44,4.38,32,DDR4,2933,512,SSD,0,NVIDIA,RTX 4080,Dedicada,12,17.3,2560,1600,VA,165,0,68.7,2.13,38.6,26.9,1.58,WiFi 5,4.2,4,2,0,,Pro,12,12479419,13136231,5.0,3119.85
1063,Asus,Asus 6864,Workstation,Intel,Core i7,14,8.0,18,2.47,4.87,32,DDR5,5200,1024,SSD,0,NVIDIA,RTX A2000,Dedicada,8,15.6,2560,1600,IPS,60,0,64.6,1.37,35.1,23.0,1.51,WiFi 6E,5.1,4,1,1,Windows 11,Home,24,11045824,12273138,10.0,2761.46
1064,Asus,Asus 9240,2 en 1,Intel,Core i7,11,8.0,16,2.16,4.86,16,DDR4,3200,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,2560,1600,IPS,60,1,57.7,1.81,36.0,23.0,1.43,WiFi 6E,5.1,2,1,0,Windows 11,Home,24,4450185,4450185,0.0,1112.55
1065,Acer,Acer 9089,Profesional,AMD,Ryzen 7,14,8.0,16,2.55,5.08,16,DDR5,5600,512,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,1920,1080,IPS,120,0,70.6,1.86,36.1,23.3,1.87,WiFi 5,5.0,4,1,0,Windows 11,Pro,12,5210088,6512610,20.0,1302.52
1066,Acer,Acer 1365,Notebook,AMD,Ryzen 5,11,8.0,12,2.57,4.47,8,DDR4,2933,256,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,1920,1080,IPS,60,0,38.8,1.26,30.9,21.8,1.8,WiFi 6E,4.2,3,2,1,Windows 11,Home,12,2569447,3211809,20.0,642.36
1067,LG,LG 5863,Ultrabook,Intel,Core i7,11,7.0,17,2.24,5.11,16,LPDDR4X,3733,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2560,1600,OLED,60,0,52.5,1.6,32.0,21.5,2.0,WiFi 6E,5.0,2,1,1,Windows 11,Home,24,4383521,4383521,0.0,1095.88
1068,MSI,MSI 7476,Gaming,Intel,Core i7,12,8.0,16,2.23,5.25,32,DDR5,5600,2048,SSD+HDD,2000,NVIDIA,RTX 3050,Dedicada,4,17.3,2560,1600,IPS,300,0,88.9,2.55,38.9,27.3,1.62,WiFi 5,5.1,3,1,1,Windows 11,Home,12,12936063,14373403,10.0,3234.02
1069,Lenovo,Lenovo 8308,Workstation,AMD,Ryzen 7,13,8.0,16,2.4,4.71,32,DDR5,5200,2048,SSD,0,AMD,RX 7600M,Dedicada,8,17.3,3840,2400,IPS,120,0,69.7,2.1,40.0,27.2,1.81,WiFi 7,5.1,3,2,1,Windows 11,Pro,24,12023524,13359471,10.0,3005.88
1070,Acer,Acer 8525,2 en 1,Intel,Core i7,12,8.0,16,2.29,4.69,8,ddr4,5200,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2560,1600,IPS,120,1,46.5,1.09,31.1,21.9,1.51,WiFi 6,4.2,3,1,0,Windows 11,Home,12,4706178,5536680,15.0,1176.54
1071,Xiaomi,Xiaomi 7470,Profesional,Intel,Core i5,12,6.0,12,2.4,4.9,16,DDR5,4800,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,2560,1600,OLED,60,0,,1.83,35.3,23.1,1.82,WiFi 6,5.3,3,1,1,Windows 11,Pro,12,4837667,5258334,8.0,1209.42
1072,HP,HP 5217,Notebook,Intel,Core i3,11,3.0,9,3.16,4.35,16,DDR4,3200,256,SSD+HDD,1000,Intel,Iris Xe Graphics,Integrada,0,17.3,1366,768,TN,60,0,45.4,1.59,39.4,26.5,1.89,WiFi 6E,5.1,3,2,1,Windows 11,Home,12,3493980,3493980,0.0,873.5
1073,Samsung,Samsung 3011,Ultrabook,AMD,Ryzen 5,13,8.0,12,2.53,4.41,32,DDR5,4800,512,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,1920,1080,OLED,120,1,55.1,1.75,36.2,22.9,1.58,WiFi 7,5.2,3,2,1,Windows 11,Home,12,5858832,6167192,5.0,1464.71
1074,Samsung,Samsung 6474,Gaming,Intel,Core i7,13,8.0,16,2.2,4.68,16,DDR5,5600,2048,SSD,0,NVIDIA,RTX A2000,Dedicada,8,17.3,2560,1600,IPS,300,0,63.7,2.46,39.5,26.9,1.79,WiFi 6,5.3,3,1,0,Windows 11,Home,12,11374817,11374817,0.0,2843.7
1075,Xiaomi,Xiaomi 7212,Workstation,AMD,Ryzen 9,12,12.0,21,2.34,5.07,32,DDR5,5600,1024,SSD,0,AMD,RX 7600M,Dedicada,8,15.6,3840,2400,IPS,120,0,67.5,1.28,35.5,23.0,1.82,WiFi 7,4.2,2,1,1,Windows 11,Pro,12,11230802,13212708,15.0,2807.7
1076,Asus,Asus 2215,2 en 1,AMD,Ryzen 3,11,4.0,8,2.73,4.28,16,LPDDR4X,4266,256,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,2560,1600,,60,1,56.9,1.8,35.2,22.9,1.66,WiFi 6,4.2,4,1,1,Windows 11,Home,12,3960930,3960930,0.0,990.23
1077,  Asus,Apple 5838,Profesional,Apple,M3,3,8.0,8,2.7,4.04,16,LPDDR5,6400,512,SSD,0,Apple,GPU Apple,Integrada,0,14.0,1920,1080,IPS,60,1,73.2,1.56,31.5,22.4,1.98,WiFi 6,4.2,2,1,0,macOS,Ventura,12,6808000,7166316,5.0,1702.0
